Date,Citi_Open,HSBC_Open,BOA_Open,Benchmark_Index,Volume
18-04-2011,37.904,37.943,37.547,37.678,2203956
19-04-2011,37.744,38.198,37.698,38.169,2015739
20-04-2011,40.813,42.246,40.698,40.821,9651498
21-04-2011,40.887,41.178,39.396,39.819,5564819
25-04-2011,39.679,40.187,39.65,39.819,1667956
26-04-2011,39.878,40.254,39.62,40.008,2258918
27-04-2011,39.916,40.35,39.179,40.159,3201199
28-04-2011,40.057,40.234,39.858,40.066,1688003
29-04-2011,39.934,40.104,39.848,40.066,1405718
02-05-2011,40.159,40.461,40.066,40.141,1280435
03-05-2011,40.15,40.763,40.113,40.668,1517925
04-05-2011,40.547,40.839,40.331,40.803,2594981
05-05-2011,40.547,41.018,40.451,40.632,1781227
06-05-2011,40.97,41.152,40.47,40.489,1304015
09-05-2011,40.431,40.934,40.331,40.632,1406845
10-05-2011,40.813,40.887,40.577,40.803,1455004
11-05-2011,40.763,41.216,40.567,40.596,1485285
12-05-2011,40.567,40.642,40.244,40.441,1879448
13-05-2011,40.518,40.577,40.008,40.244,2073072
16-05-2011,40.216,40.499,40.085,40.168,914074
17-05-2011,39.916,40.312,39.536,39.819,2243748
18-05-2011,39.791,39.896,39.546,39.81,1648838
19-05-2011,39.8,39.887,39.328,39.791,1724156
20-05-2011,39.64,39.746,39.318,39.593,1298142
23-05-2011,39.3,39.574,38.792,38.8,854499
24-05-2011,38.8,38.943,38.273,38.557,766593
25-05-2011,38.357,39.536,38.357,39.29,2348582
26-05-2011,39.273,40.123,39.008,40.018,1881532
27-05-2011,40.076,41.831,40.008,41.33,2516336
31-05-2011,41.914,41.992,41.51,41.831,2918236
01-06-2011,41.811,41.867,40.642,40.813,3614341
02-06-2011,40.813,41.262,40.698,41.216,2051963
03-06-2011,40.813,41.114,40.587,40.887,1686459
06-06-2011,40.905,40.98,40.577,40.659,2091880
07-06-2011,40.858,41.104,39.969,40.197,2214036
08-06-2011,40.113,40.451,39.782,40.331,2268084
09-06-2011,40.322,40.613,40.133,40.499,1067608
10-06-2011,40.293,40.376,39.455,39.791,2304806
13-06-2011,39.819,40.178,39.698,39.989,1365473
14-06-2011,40.341,40.547,40.047,40.385,1050293
15-06-2011,39.989,40.206,39.386,39.728,1515240
16-06-2011,39.593,39.791,39.318,39.782,1509271
17-06-2011,40.047,40.518,39.509,40.283,4019803
20-06-2011,40.094,40.567,39.848,40.528,1045650
21-06-2011,40.528,40.905,40.376,40.83,1150945
22-06-2011,40.743,40.944,40.254,40.48,1869265
23-06-2011,40.197,40.668,39.318,40.283,2414915
24-06-2011,40.341,40.518,39.829,39.887,1088299
27-06-2011,39.8,40.632,39.8,40.48,994439
28-06-2011,40.577,40.962,40.557,40.868,1135718
29-06-2011,41.047,41.583,41.028,41.573,1267283
30-06-2011,41.593,41.972,41.245,41.764,1759272
01-07-2011,41.727,42.284,41.573,42.216,985611
05-07-2011,42.028,42.349,41.454,41.632,1320611
06-07-2011,41.358,41.527,40.632,41.262,1200626
07-07-2011,41.68,42.142,41.593,41.68,1265612
08-07-2011,41.197,41.367,40.725,40.905,854713
11-07-2011,40.368,40.385,38.441,38.51,2166445
12-07-2011,38.48,39.416,38.357,38.876,1698479
13-07-2011,39.055,39.366,38.669,38.716,812091
14-07-2011,38.924,39.055,37.698,38.188,1256372
15-07-2011,38.422,38.631,37.773,38.129,1530904
18-07-2011,37.868,37.943,36.706,36.829,1607109
19-07-2011,37.196,37.754,37.15,37.602,1527117
20-07-2011,37.763,37.953,37.272,37.358,1303439
21-07-2011,37.621,38.149,36.914,37.018,2485409
22-07-2011,37.028,37.716,36.501,37.698,1754268
25-07-2011,37.095,37.754,36.866,37.414,1781789
26-07-2011,37.744,39.416,37.725,38.866,3160381
27-07-2011,38.5,38.963,37.961,38.066,2038279
28-07-2011,38.254,38.612,37.819,37.829,566426
29-07-2011,37.641,37.896,37.066,37.498,944121
01-08-2011,37.904,38.101,36.876,37.095,1371424
